seed,lambda,mu,rho,policy_name,preemptive,last_index,last_arrival,last_completion,totdelay,totservice,totwait,interarr,wait,delay,service,innode,inq,util,maxqlen
1000,2.000000,0.200000,0.100000,FCFS,1,1000000,2001842.250000,2001842.250000,22193.416016,199800.281250,221993.703125,2.001842,0.221994,0.022193,0.199800,0.110895,0.011086,0.099808,6
1000,2.000000,0.200000,0.100000,LCFS,0,1000000,2001842.250000,2001842.250000,22202.775391,199800.281250,222003.062500,2.001842,0.222003,0.022203,0.199800,0.110899,0.011091,0.099808,5
1000,2.000000,0.200000,0.100000,LCFS,1,1000000,2001842.250000,2001842.250000,21991.851562,199800.281250,221792.140625,2.001842,0.221792,0.021992,0.199800,0.110794,0.010986,0.099808,6
1000,2.000000,0.200000,0.100000,SJF,0,1000000,2001842.250000,2001842.250000,21178.916016,199800.281250,220979.203125,2.001842,0.220979,0.021179,0.199800,0.110388,0.010580,0.099808,5
1000,2.000000,0.200000,0.100000,SJF,1,1000000,2001842.250000,2001842.250000,13427.761719,199800.281250,213228.046875,2.001842,0.213228,0.013428,0.199800,0.106516,0.006708,0.099808,5
1000,2.000000,0.200000,0.100000,SRTF,1,1000000,2001842.250000,2001842.250000,10756.497070,199800.281250,210556.781250,2.001842,0.210557,0.010756,0.199800,0.105182,0.005373,0.099808,5
1000,2.000000,0.200000,0.100000,PS,0,1000000,2001842.250000,2001842.250000,22189.447266,199800.281250,221989.734375,2.001842,0.221990,0.022189,0.199800,0.110893,0.011085,0.099808,5
1000,2.000000,0.200000,0.100000,PS,1,1000000,2001842.250000,2001842.250000,22150.755859,199800.281250,221951.046875,2.001842,0.221951,0.022151,0.199800,0.110873,0.011065,0.099808,6
10000,2.000000,0.200000,0.100000,FCFS,0,1000000,2003977.125000,2003977.125000,22069.503906,199673.234375,221742.734375,2.003977,0.221743,0.022070,0.199673,0.110651,0.011013,0.099638,5
10000,2.000000,0.200000,0.100000,FCFS,1,1000000,2003977.125000,2003977.125000,22069.609375,199673.234375,221742.828125,2.003977,0.221743,0.022070,0.199673,0.110651,0.011013,0.099638,6
10000,2.000000,0.200000,0.100000,LCFS,0,1000000,2003977.125000,2003977.125000,22064.728516,199673.234375,221737.953125,2.003977,0.221738,0.022065,0.199673,0.110649,0.011010,0.099638,5
10000,2.000000,0.200000,0.100000,LCFS,1,1000000,2003977.125000,2003977.125000,22034.404297,199673.234375,221707.625000,2.003977,0.221708,0.022034,0.199673,0.110634,0.010995,0.099638,6
10000,2.000000,0.200000,0.100000,SJF,0,1000000,2003977.125000,2003977.125000,21078.796875,199673.234375,220752.031250,2.003977,0.220752,0.021079,0.199673,0.110157,0.010518,0.099638,5
10000,2.000000,0.200000,0.100000,SJF,1,1000000,2003977.125000,2003977.125000,13503.710938,199673.234375,213176.937500,2.003977,0.213177,0.013504,0.199673,0.106377,0.006738,0.099638,5
10000,2.000000,0.200000,0.100000,SRTF,1,1000000,2003977.125000,2003977.125000,10805.480469,199673.234375,210478.703125,2.003977,0.210479,0.010805,0.199673,0.105030,0.005392,0.099638,5
10000,2.000000,0.200000,0.100000,PS,0,1000000,2003977.125000,2003977.125000,22063.181641,199673.234375,221736.421875,2.003977,0.221736,0.022063,0.199673,0.110648,0.011010,0.099638,5
10000,2.000000,0.200000,0.100000,PS,1,1000000,2003977.125000,2003977.125000,21982.863281,199673.234375,221656.093750,2.003977,0.221656,0.021983,0.199673,0.110608,0.010970,0.099638,6
100000,2.000000,0.200000,0.100000,FCFS,0,1000000,2000592.250000,2000592.500000,22177.496094,199665.156250,221842.640625,2.000592,0.221843,0.022177,0.199665,0.110888,0.011085,0.099803,6
100000,2.000000,0.200000,0.100000,FCFS,1,1000000,2000592.250000,2000592.500000,22176.150391,199665.156250,221841.296875,2.000592,0.221841,0.022176,0.199665,0.110888,0.011085,0.099803,7
100000,2.000000,0.200000,0.100000,LCFS,0,1000000,2000592.250000,2000592.500000,22170.839844,199665.156250,221835.984375,2.000592,0.221836,0.022171,0.199665,0.110885,0.011082,0.099803,6
100000,2.000000,0.200000,0.100000,LCFS,1,1000000,2000592.250000,2000592.500000,21990.076172,199665.156250,221655.218750,2.000592,0.221655,0.021990,0.199665,0.110795,0.010992,0.099803,8
